"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 20, 2018","1,030.57","1,011.24","1,030.74","995.42","105.24K","1.91%"
"Apr 19, 2018","1,011.23","1,052.63","1,052.63","1,011.23","126.31K","-3.93%"
"Apr 18, 2018","1,052.59","1,065.14","1,071.04","1,052.32","99.42K","-1.18%"
"Apr 17, 2018","1,065.14","1,061.83","1,069.84","1,054.76","101.10K","0.32%"
"Apr 16, 2018","1,061.78","1,067.03","1,069.34","1,055.28","100.95K","-0.49%"
"Apr 13, 2018","1,067.00","1,075.06","1,085.11","1,064.55","116.96K","-0.74%"
"Apr 12, 2018","1,074.97","1,068.95","1,074.97","1,054.74","127.43K","0.53%"
"Apr 11, 2018","1,069.28","1,097.50","1,100.90","1,069.28","184.14K","-2.55%"
"Apr 10, 2018","1,097.25","1,107.68","1,113.05","1,091.42","178.42K","-0.94%"
"Apr 09, 2018","1,107.68","1,104.89","1,110.93","1,101.88","158.46K","0.23%"
"Apr 06, 2018","1,105.15","1,100.43","1,110.62","1,100.43","159.95K","0.43%"
"Apr 05, 2018","1,100.43","1,095.33","1,104.40","1,094.74","129.88K","0.47%"
"Apr 04, 2018","1,095.33","1,088.33","1,101.72","1,088.33","139.21K","0.66%"
"Apr 03, 2018","1,088.13","1,095.67","1,097.21","1,084.53","162.18K","-0.69%"
"Apr 02, 2018","1,095.67","1,080.34","1,097.21","1,080.34","170.24K","1.43%"
"Mar 30, 2018","1,080.26","1,071.88","1,080.57","1,064.70","112.16K","0.78%"
"Mar 29, 2018","1,071.88","1,076.60","1,081.09","1,069.26","99.68K","-0.44%"
"Mar 28, 2018","1,076.60","1,075.60","1,083.73","1,071.40","117.00K","0.09%"
"Mar 27, 2018","1,075.58","1,073.25","1,087.48","1,073.25","151.35K","0.23%"
"Mar 26, 2018","1,073.15","1,058.69","1,077.45","1,054.21","129.47K","1.38%"
"Mar 23, 2018","1,058.59","1,072.89","1,072.89","1,045.12","186.19K","-1.34%"
"Mar 22, 2018","1,073.01","1,075.04","1,086.20","1,072.33","154.87K","-0.19%"
"Mar 21, 2018","1,075.04","1,063.10","1,076.68","1,063.10","157.20K","1.12%"
"Mar 20, 2018","1,063.09","1,061.19","1,067.44","1,057.07","136.96K","0.17%"
"Mar 19, 2018","1,061.29","1,047.65","1,065.60","1,047.65","161.95K","1.30%"
"Mar 16, 2018","1,047.70","1,046.76","1,051.75","1,044.47","189.96K","0.28%"
"Mar 15, 2018","1,044.81","1,049.16","1,049.16","1,041.48","147.57K","-0.42%"
"Mar 14, 2018","1,049.24","1,044.97","1,054.08","1,044.97","161.01K","0.41%"
"Mar 13, 2018","1,044.93","1,038.68","1,046.16","1,033.03","146.09K","0.60%"
"Mar 12, 2018","1,038.68","1,040.27","1,048.09","1,037.15","131.31K","-0.15%"
"Mar 09, 2018","1,040.27","1,041.72","1,050.62","1,036.23","135.96K","0.05%"
"Mar 08, 2018","1,039.75","1,028.53","1,043.03","1,027.91","126.40K","1.14%"
"Mar 07, 2018","1,028.08","1,034.84","1,040.23","1,020.84","175.08K","-0.68%"
"Mar 06, 2018","1,035.13","1,023.66","1,035.13","1,009.80","152.82K","2.03%"
"Mar 05, 2018","1,014.50","1,039.29","1,042.98","1,014.50","189.66K","-1.78%"
"Mar 02, 2018","1,032.85","1,019.04","1,033.96","1,016.85","138.17K","0.45%"
"Mar 01, 2018","1,028.26","1,028.41","1,038.06","1,022.39","157.40K","-0.24%"
"Feb 28, 2018","1,030.78","1,020.57","1,035.03","1,019.90","161.46K","0.21%"
"Feb 27, 2018","1,028.66","1,031.70","1,031.83","1,018.09","133.02K","0.43%"
"Feb 26, 2018","1,024.30","1,028.54","1,035.72","1,024.30","168.11K","0.53%"
"Feb 23, 2018","1,018.89","1,005.18","1,018.89","1,001.42","135.94K","2.17%"
"Feb 22, 2018","997.24","1,001.26","1,009.30","996.10","141.67K","-1.00%"
"Feb 21, 2018","1,007.31","997.09","1,011.87","996.79","126.15K","2.01%"
"Feb 13, 2018","987.51","978.14","988.77","978.14","107.38K","1.83%"
"Feb 12, 2018","969.73","940.59","969.73","940.59","118.93K","3.53%"
"Feb 09, 2018","936.65","922.96","936.65","908.36","139.98K","-1.54%"
"Feb 08, 2018","951.29","959.18","966.98","951.29","115.28K","-1.53%"
"Feb 07, 2018","966.07","969.22","974.23","961.12","140.02K","2.33%"
"Feb 06, 2018","944.10","950.79","951.63","911.21","275.10K","-2.91%"
"Feb 05, 2018","972.37","1,015.84","1,015.84","972.37","185.97K","-4.97%"
"Feb 02, 2018","1,023.22","1,020.13","1,023.22","1,010.84","121.31K","0.32%"
"Feb 01, 2018","1,019.91","1,031.06","1,031.06","1,011.57","169.34K","-0.89%"
"Jan 31, 2018","1,029.08","1,032.41","1,045.22","1,029.08","226.63K","-0.41%"
"Jan 30, 2018","1,033.29","1,021.57","1,033.29","1,013.97","210.79K","0.36%"
"Jan 29, 2018","1,029.59","1,039.83","1,047.06","1,028.61","194.93K","-0.62%"
"Jan 26, 2018","1,036.05","1,029.00","1,042.23","1,021.68","188.41K","0.73%"
"Jan 25, 2018","1,028.57","1,026.58","1,040.39","1,022.53","317.57K","1.04%"
"Jan 23, 2018","1,017.99","999.91","1,019.04","999.91","175.02K","0.00%"
"Jan 22, 2018","1,017.99","999.91","1,019.04","999.91","175.02K","2.35%"
"Jan 19, 2018","994.65","991.78","1,001.84","989.77","193.28K","0.55%"
"Jan 18, 2018","989.17","973.21","989.17","958.08","183.75K","1.52%"
"Jan 17, 2018","974.37","1,001.49","1,002.88","974.37","197.16K","-2.85%"
"Jan 16, 2018","1,002.98","999.50","1,004.87","991.24","217.93K","-0.10%"
"Jan 15, 2018","1,004.00","992.14","1,004.00","986.45","189.58K","1.24%"
"Jan 12, 2018","991.75","991.94","998.50","987.30","217.87K","0.25%"
"Jan 11, 2018","989.30","983.49","991.79","976.70","197.76K","0.59%"
"Jan 10, 2018","983.54","982.12","990.28","978.02","250.43K","0.24%"
"Jan 09, 2018","981.21","972.83","982.55","965.76","211.94K","1.28%"
"Jan 08, 2018","968.85","955.46","968.85","950.21","174.09K","1.30%"
"Jan 05, 2018","956.45","962.48","962.52","954.41","179.75K","-0.59%"
"Jan 04, 2018","962.11","955.35","962.44","955.35","177.65K","1.00%"
"Jan 03, 2018","952.55","945.54","958.96","944.66","158.33K","1.17%"
"Jan 02, 2018","941.57","930.57","941.57","928.69","132.23K","1.40%"
"Dec 29, 2017","928.61","922.24","933.36","921.80","136.10K","0.76%"
"Dec 28, 2017","921.62","916.39","922.80","914.05","103.91K","0.77%"
"Dec 27, 2017","914.61","915.25","919.18","912.08","125.93K","0.12%"
"Dec 26, 2017","913.48","908.94","913.55","906.85","95.09K","0.66%"
"Dec 25, 2017","907.50","907.11","909.66","904.53","78.68K","0.17%"
"Dec 22, 2017","905.93","901.11","906.16","899.65","99.63K","0.75%"
"Dec 21, 2017","899.21","905.64","912.65","899.21","107.68K","-1.00%"
"Dec 20, 2017","908.27","906.79","913.29","902.39","117.31K","0.17%"
"Dec 19, 2017","906.73","915.11","917.69","906.73","138.29K","-0.47%"
"Dec 18, 2017","910.97","900.58","910.97","900.08","176.25K","2.31%"
"Dec 15, 2017","890.41","889.75","895.36","889.12","177.28K","-0.16%"
"Dec 14, 2017","891.84","877.95","891.84","877.95","98.40K","1.59%"
"Dec 13, 2017","877.91","882.51","883.08","875.28","87.20K","-0.12%"
"Dec 12, 2017","878.95","883.36","885.94","850.50","171.13K","0.45%"
"Dec 11, 2017","875.00","891.35","892.05","875.00","128.38K","-2.01%"
"Dec 08, 2017","892.94","891.02","898.03","884.52","108.60K","0.19%"
"Dec 07, 2017","891.26","901.66","905.43","886.07","116.01K","-0.89%"
"Dec 06, 2017","899.24","900.22","901.00","882.39","172.08K","-0.43%"
"Dec 05, 2017","903.10","923.83","926.03","903.10","178.88K","-2.01%"
"Dec 04, 2017","921.60","911.05","923.66","911.05","191.63K","1.38%"
"Dec 01, 2017","909.02","899.74","909.18","899.74","153.45K","1.04%"
"Nov 30, 2017","899.65","905.65","909.39","899.65","163.32K","-0.27%"
"Nov 29, 2017","902.09","896.13","902.09","893.17","150.95K","0.92%"
"Nov 28, 2017","893.84","891.50","895.18","886.25","267.66K","0.34%"
"Nov 27, 2017","890.78","883.70","898.40","882.85","160.29K","0.70%"
"Nov 24, 2017","884.57","877.53","886.23","872.99","150.68K","0.53%"
"Nov 23, 2017","879.91","882.37","888.62","874.39","152.94K","0.11%"
"Nov 22, 2017","878.94","871.71","878.94","868.09","132.14K","0.97%"
"Nov 21, 2017","870.48","865.98","882.09","865.98","146.03K","0.87%"
"Nov 20, 2017","862.93","850.87","862.93","849.09","103.52K","1.35%"
"Nov 17, 2017","851.46","854.54","860.21","847.03","111.38K","-0.22%"
"Nov 16, 2017","853.32","839.59","853.32","839.59","119.69K","1.39%"
"Nov 15, 2017","841.62","835.15","843.77","833.16","110.72K","0.74%"
"Nov 14, 2017","835.41","833.20","837.34","826.96","112.31K","0.28%"
"Nov 13, 2017","833.07","825.08","833.07","825.08","147.40K","1.18%"
"Nov 10, 2017","823.35","816.00","826.09","816.00","112.55K","0.60%"
"Nov 09, 2017","818.40","820.47","823.20","817.06","101.38K","0.22%"
"Nov 08, 2017","816.63","812.09","818.40","811.10","109.90K","0.95%"
"Nov 07, 2017","808.93","808.30","812.70","805.86","105.89K","0.23%"
"Nov 06, 2017","807.09","803.14","807.66","801.70","95.11K","0.85%"
"Nov 03, 2017","800.26","790.44","800.26","788.51","107.20K","1.29%"
"Nov 02, 2017","790.10","797.71","804.78","789.49","119.70K","-0.99%"
